Sex,EE,H2Omg,RQ,Animal_ID,Deg_C,weight,experiment,StartTime,SD_VCO2,SD_VO2,SD_H2Omg,VO2,VCO2,StartDate,FQ,block,hour
F,0.063613125912,2.261605,1.0878895446667534,1015,32.98062,21.87,Low Fat,19:41:18,0.0112,0.0133,0.0333,0.2060996,0.2242136,2020-08-18,0.92266,cages13aug,19
F,0.058536890370000004,2.181475,1.1581195094419001,1015,32.8924,21.87,Low Fat,19:49:18,0.00919,0.013,0.104383,0.1868321,0.2163739,2020-08-18,0.92266,cages13aug,19
F,0.18034682152199996,2.411883,0.9483198227563703,1015,29.78719,21.87,Low Fat,20:25:18,0.0156,0.0165,0.0282,0.6023799,0.5712488,2020-08-18,0.92266,cages13aug,20
F,0.162023767332,1.401319,0.988815253212182,1015,26.45367,21.87,Low Fat,20:41:18,0.0319,0.0293,0.016,0.5363644,0.5303653,2020-08-18,0.92266,cages13aug,20
F,0.226766132292,0.158726,0.921088457156415,1015,20.1454,21.87,Low Fat,21:21:18,0.0173,0.0115,0.0167,0.7620254,0.7018928,2020-08-18,0.92266,cages13aug,21
F,0.15232207888799998,0.4158951,0.9623325064383064,1015,18.99547,21.87,Low Fat,21:45:18,0.00914,0.0142,0.0264246,0.5071986,0.4880937,2020-08-18,0.92266,cages13aug,21
F,0.105538333572,0.2482074,0.9024228547938189,1015,21.6356,21.87,Low Fat,22:09:18,0.0227,0.0160262,0.0229,0.3561336,0.3213831,2020-08-18,0.92266,cages13aug,22
F,0.08413562052,0.2769139,1.0175419580571177,1015,21.57003,21.87,Low Fat,22:41:18,0.00926,0.0137,0.0171,0.2767764,0.2816316,2020-08-18,0.92266,cages13aug,22
F,0.092877508416,0.3174958,0.9554799916314317,1015,21.52044,21.87,Low Fat,23:11:19,0.00846,0.0205,0.0189,0.3097304,0.2959412,2020-08-18,0.92266,cages13aug,23
F,0.10402311301199998,0.3070302,0.9251985887044819,1015,21.46498,21.87,Low Fat,23:19:19,0.0125,0.0226,0.0287396,0.3492394,0.3231158,2020-08-18,0.92266,cages13aug,23
F,0.114797084136,0.4467846,0.9977172730033917,1015,22.06118,21.87,Low Fat,23:55:19,0.0145,0.0205,0.0178,0.3792832,0.3784174,2020-08-18,0.92266,cages13aug,23
F,0.25474914620399997,0.6572257,1.000585984868299,1015,22.07985,21.87,Low Fat,00:11:19,0.0292,0.0312,0.0231,0.841148,0.8416409,2020-08-19,0.92266,cages13aug,0
F,0.24826855657799995,0.9894617,0.994341512713719,1015,22.03284,21.87,Low Fat,00:51:19,0.0193,0.038,0.0217,0.8208731,0.8162282,2020-08-19,0.92266,cages13aug,0
F,0.24364233310199998,1.097169,0.9774939803917034,1015,22.17422,21.87,Low Fat,01:15:19,0.0205,0.0363,0.0132,0.8085659,0.7903683,2020-08-19,0.92266,cages13aug,1
F,0.22997708012999998,1.231781,0.9585920463294971,1015,22.16752,21.87,Low Fat,01:39:19,0.0232,0.0198,0.0166,0.7664059,0.7346706,2020-08-19,0.92266,cages13aug,1
F,0.102748984002,1.078138,1.0128667359631105,1015,22.18287,21.87,Low Fat,02:11:19,0.0114,0.0206,0.0201,0.3383531,0.3427066,2020-08-19,0.92266,cages13aug,2
F,0.097364863638,1.044713,0.9684214947939526,1015,22.21729,21.87,Low Fat,02:41:20,0.00982,0.0246,0.0142,0.3237677,0.3135436,2020-08-19,0.92266,cages13aug,2
F,0.10761600985799999,0.9511908,0.9554906808656601,1015,22.28262,21.87,Low Fat,02:49:20,0.00926,0.0151,0.0222264,0.3588799,0.3429064,2020-08-19,0.92266,cages13aug,2
F,0.16938954715199997,1.138245,0.9785119823095327,1015,22.22477,21.87,Low Fat,03:25:20,0.0253,0.0135063,0.0253685,0.5620202,0.5499435,2020-08-19,0.92266,cages13aug,3
F,0.2572495338,1.445284,0.9513322218480005,1015,22.27475,21.87,Low Fat,03:41:20,0.0294,0.0439,0.0281,0.8586708,0.8168812,2020-08-19,0.92266,cages13aug,3
F,0.253755344136,1.561304,0.965650270782815,1015,22.25155,21.87,Low Fat,04:21:20,0.0132,0.0229,0.0179,0.8443298,0.8153273,2020-08-19,0.92266,cages13aug,4
F,0.180992889042,1.653615,1.0228476323985811,1015,22.22887,21.87,Low Fat,04:45:20,0.014,0.0316,0.0234,0.5947137,0.6083015,2020-08-19,0.92266,cages13aug,4
F,0.159035366238,1.63611,0.9856604522805642,1015,22.30539,21.87,Low Fat,05:09:20,0.0137631,0.0165,0.0165,0.5268367,0.5192821,2020-08-19,0.92266,cages13aug,5
F,0.11020496109000001,1.580657,1.0111270351200143,1015,22.2625,21.87,Low Fat,05:41:20,0.0132,0.0283,0.0196915,0.3630437,0.3670833,2020-08-19,0.92266,cages13aug,5
F,0.167261735844,1.592796,0.9427880077231122,1015,22.25448,21.87,Low Fat,06:11:21,0.0132,0.0131,0.0188,0.55936,0.5273579,2020-08-19,0.92266,cages13aug,6
F,0.09879172942799999,1.534667,1.03210925065965,1015,22.57372,21.87,Low Fat,06:19:21,0.0103,0.0259,0.0232,0.3239596,0.3343617,2020-08-19,0.92266,cages13aug,6
F,0.065038284024,1.7645,1.0547431223006802,1015,25.00377,21.87,Low Fat,06:55:21,0.00732,0.0175,0.0354,0.2122294,0.2238475,2020-08-19,0.92266,cages13aug,6
F,0.06518780163,1.851182,1.0099389528834322,1015,25.86112,21.87,Low Fat,07:11:21,0.0115947,0.0198095,0.017,0.2148013,0.2169362,2020-08-19,0.92266,cages13aug,7
F,0.055166810579999996,2.378403,1.112087437447064,1015,28.41227,21.87,Low Fat,07:51:21,0.00861,0.0148,0.0273,0.1778094,0.1977396,2020-08-19,0.92266,cages13aug,7
F,0.059349483858,2.785912,1.0717960544898124,1015,29.92185,21.87,Low Fat,08:15:21,0.0128,0.0165,0.0267,0.1929535,0.2068068,2020-08-19,0.92266,cages13aug,8
F,0.04168683834,3.180497,1.4348491310034914,1015,31.23587,21.87,Low Fat,08:39:21,0.0105,0.0136,0.0291372,0.1256852,0.1803393,2020-08-19,0.92266,cages13aug,8
